Product ID,Field,English Content,Finnish Translation
"15490835382621","product_type","Apparel","Päähineet, huivit ja hanskat"
"15490842329437","title","Original Flat Peak Snapback","ORIGINAL FLAT PEAK SNAPBACK LIPPIS"
"15490842329437","body_html","• 100% Polyester Twill 
• Flat peak style 
• Retro style Snapback size adjuster","• 100 % polyesteritwilliä
• 5 paneelia
• Vihreä lipan alaosa
HUOM! Värissä Black - Black - Black mus..."
"15490842329437","handle","b660","B660"
"15490842329437","product_type","Apparel","Päähineet, huivit ja hanskat"
"15490859565405","title","Chef's Zandana Scarf","CHEF'S ZANDANA"
"15490859565405","body_html","• Material: 65% polyester, 35% cotton twill
• Weight: 195g/m²
• Two ties at the back
• Easy to tie a...","Suosittu kokin huivipäähine, jossa solmimisnauhat takana.

• 65 % polyesteriä, 35 % puuvillatwilliä
..."
"15490859565405","handle","pr658","PR658"
"15490859565405","product_type","Apparel","Päähineet, huivit ja hanskat"
"15490867102045","title","Orion Reflective Scarf","ARKI KYLPYTAKKI"
"15490867102045","body_html","• Reflective part: 62% acrylic 38% polyester
• Microfleece
• Size 125 x 21,5cm","Muhkea ja imukykyinen froteekylpytakki arjen eri tilanteisiin.

• 100 % puuvillafroteeta
• 350 g/m²
..."
"15490867102045","handle","910680","710"
"15490867102045","product_type","Apparel","Tarjoukset"
