Field Name,Value
variants.variant.10.outlet_discount_percent,
variants.variant.10.leaving,0
variants.variant.11.code,1033032116
variants.variant.11.recommended_retail_price,4.50
variants.variant.11.recommended_retail_price_brutto,5.65
variants.variant.11.wholesale_price,
variants.variant.11.discount,0.00
variants.variant.11.vat,25.50
variants.variant.11.currency,EUR
variants.variant.11.color,32
variants.variant.11.hexcolors.hexcolor,#002b58
variants.variant.11.color_name,Navy
variants.variant.11.size,116
variants.variant.11.available,10-50
variants.variant.11.free_stock,37
variants.variant.11.incoming,0
variants.variant.11.mfstock,2700
variants.variant.11.outlet_discount_percent,
variants.variant.11.leaving,0
variants.variant.12.code,1033032128
variants.variant.12.recommended_retail_price,4.50
variants.variant.12.recommended_retail_price_brutto,5.65
variants.variant.12.wholesale_price,
variants.variant.12.discount,0.00
variants.variant.12.vat,25.50
variants.variant.12.currency,EUR
variants.variant.12.color,32
variants.variant.12.hexcolors.hexcolor,#002b58
variants.variant.12.color_name,Navy
variants.variant.12.size,128
variants.variant.12.available,10-50
variants.variant.12.free_stock,16
variants.variant.12.incoming,0
variants.variant.12.mfstock,8964
variants.variant.12.outlet_discount_percent,
variants.variant.12.leaving,0
variants.variant.13.code,1033032140
variants.variant.13.recommended_retail_price,4.50
variants.variant.13.recommended_retail_price_brutto,5.65
variants.variant.13.wholesale_price,
variants.variant.13.discount,0.00
variants.variant.13.vat,25.50
variants.variant.13.currency,EUR
variants.variant.13.color,32
variants.variant.13.hexcolors.hexcolor,#002b58
variants.variant.13.color_name,Navy
variants.variant.13.size,140
variants.variant.13.available,50-100
variants.variant.13.free_stock,83
variants.variant.13.incoming,0
variants.variant.13.mfstock,8100
variants.variant.13.outlet_discount_percent,
variants.variant.13.leaving,0
variants.variant.14.code,1033032152
variants.variant.14.recommended_retail_price,4.50
variants.variant.14.recommended_retail_price_brutto,5.65
variants.variant.14.wholesale_price,
variants.variant.14.discount,0.00
variants.variant.14.vat,25.50
variants.variant.14.currency,EUR
variants.variant.14.color,32
variants.variant.14.hexcolors.hexcolor,#002b58
variants.variant.14.color_name,Navy
variants.variant.14.size,152
variants.variant.14.available,50-100
variants.variant.14.free_stock,75
variants.variant.14.incoming,0
variants.variant.14.mfstock,2592
variants.variant.14.outlet_discount_percent,
variants.variant.14.leaving,0
variants.variant.15.code,1033032164
variants.variant.15.recommended_retail_price,4.50
variants.variant.15.recommended_retail_price_brutto,5.65
variants.variant.15.wholesale_price,
variants.variant.15.discount,0.00
variants.variant.15.vat,25.50
variants.variant.15.currency,EUR
variants.variant.15.color,32
variants.variant.15.hexcolors.hexcolor,#002b58
variants.variant.15.color_name,Navy
variants.variant.15.size,164
variants.variant.15.available,10-50
variants.variant.15.free_stock,50
variants.variant.15.incoming,0
variants.variant.15.mfstock,2088
variants.variant.15.outlet_discount_percent,
variants.variant.15.leaving,0
variants.variant.16.code,1033034092
variants.variant.16.recommended_retail_price,4.50
variants.variant.16.recommended_retail_price_brutto,5.65
variants.variant.16.wholesale_price,
variants.variant.16.discount,0.00
variants.variant.16.vat,25.50
variants.variant.16.currency,EUR
variants.variant.16.color,34
variants.variant.16.hexcolors.hexcolor,#fdc800
variants.variant.16.color_name,Sunflower
variants.variant.16.size,092
variants.variant.16.available,0
variants.variant.16.free_stock,0
variants.variant.16.incoming,0
variants.variant.16.mfstock,2592
variants.variant.16.outlet_discount_percent,
variants.variant.16.leaving,0
variants.variant.17.code,1033034098
variants.variant.17.recommended_retail_price,4.50
variants.variant.17.recommended_retail_price_brutto,5.65
variants.variant.17.wholesale_price,
variants.variant.17.discount,0.00
variants.variant.17.vat,25.50
variants.variant.17.currency,EUR
variants.variant.17.color,34
variants.variant.17.hexcolors.hexcolor,#fdc800
variants.variant.17.color_name,Sunflower
variants.variant.17.size,098
variants.variant.17.available,0
variants.variant.17.free_stock,0
variants.variant.17.incoming,0
variants.variant.17.mfstock,2052
variants.variant.17.outlet_discount_percent,
variants.variant.17.leaving,0
variants.variant.18.code,1033034104
variants.variant.18.recommended_retail_price,4.50
variants.variant.18.recommended_retail_price_brutto,5.65
variants.variant.18.wholesale_price,
variants.variant.18.discount,0.00
variants.variant.18.vat,25.50
variants.variant.18.currency,EUR
variants.variant.18.color,34
variants.variant.18.hexcolors.hexcolor,#fdc800
variants.variant.18.color_name,Sunflower
variants.variant.18.size,104
variants.variant.18.available,10-50
variants.variant.18.free_stock,49
variants.variant.18.incoming,0
variants.variant.18.mfstock,1836
variants.variant.18.outlet_discount_percent,
variants.variant.18.leaving,0
variants.variant.19.code,1033034116
variants.variant.19.recommended_retail_price,4.50
variants.variant.19.recommended_retail_price_brutto,5.65
variants.variant.19.wholesale_price,
variants.variant.19.discount,0.00
variants.variant.19.vat,25.50
variants.variant.19.currency,EUR
variants.variant.19.color,34
variants.variant.19.hexcolors.hexcolor,#fdc800
variants.variant.19.color_name,Sunflower
variants.variant.19.size,116
variants.variant.19.available,10-50
variants.variant.19.free_stock,17
variants.variant.19.incoming,0
variants.variant.19.mfstock,1944
variants.variant.19.outlet_discount_percent,
variants.variant.19.leaving,0
variants.variant.20.code,1033034128
variants.variant.20.recommended_retail_price,4.50
variants.variant.20.recommended_retail_price_brutto,5.65
variants.variant.20.wholesale_price,
variants.variant.20.discount,0.00
variants.variant.20.vat,25.50
variants.variant.20.currency,EUR
variants.variant.20.color,34
variants.variant.20.hexcolors.hexcolor,#fdc800
variants.variant.20.color_name,Sunflower
variants.variant.20.size,128
variants.variant.20.available,50-100
variants.variant.20.free_stock,81
variants.variant.20.incoming,0
variants.variant.20.mfstock,5940
variants.variant.20.outlet_discount_percent,
variants.variant.20.leaving,0
variants.variant.21.code,1033034140
variants.variant.21.recommended_retail_price,4.50
variants.variant.21.recommended_retail_price_brutto,5.65
variants.variant.21.wholesale_price,
variants.variant.21.discount,0.00
variants.variant.21.vat,25.50
variants.variant.21.currency,EUR
variants.variant.21.color,34
variants.variant.21.hexcolors.hexcolor,#fdc800
variants.variant.21.color_name,Sunflower
variants.variant.21.size,140
variants.variant.21.available,50-100
variants.variant.21.free_stock,77
variants.variant.21.incoming,0
variants.variant.21.mfstock,2700
variants.variant.21.outlet_discount_percent,
variants.variant.21.leaving,0
variants.variant.22.code,1033034152
variants.variant.22.recommended_retail_price,4.50
variants.variant.22.recommended_retail_price_brutto,5.65
variants.variant.22.wholesale_price,
variants.variant.22.discount,0.00
variants.variant.22.vat,25.50
variants.variant.22.currency,EUR
variants.variant.22.color,34
variants.variant.22.hexcolors.hexcolor,#fdc800
variants.variant.22.color_name,Sunflower
variants.variant.22.size,152
variants.variant.22.available,50-100
variants.variant.22.free_stock,80
variants.variant.22.incoming,0
variants.variant.22.mfstock,3564
variants.variant.22.outlet_discount_percent,
variants.variant.22.leaving,0
variants.variant.23.code,1033034164
variants.variant.23.recommended_retail_price,4.50
variants.variant.23.recommended_retail_price_brutto,5.65
variants.variant.23.wholesale_price,
variants.variant.23.discount,0.00
variants.variant.23.vat,25.50
variants.variant.23.currency,EUR
variants.variant.23.color,34
variants.variant.23.hexcolors.hexcolor,#fdc800
variants.variant.23.color_name,Sunflower
variants.variant.23.size,164
variants.variant.23.available,50-100
variants.variant.23.free_stock,70
variants.variant.23.incoming,0
variants.variant.23.mfstock,792
variants.variant.23.outlet_discount_percent,
variants.variant.23.leaving,0
variants.variant.24.code,1033036104
variants.variant.24.recommended_retail_price,4.50
variants.variant.24.recommended_retail_price_brutto,5.65
variants.variant.24.wholesale_price,
variants.variant.24.discount,0.00
variants.variant.24.vat,25.50
variants.variant.24.currency,EUR
variants.variant.24.color,36
variants.variant.24.hexcolors.hexcolor,#000000
variants.variant.24.color_name,Black
variants.variant.24.size,104
variants.variant.24.available,> 100
variants.variant.24.free_stock,103
variants.variant.24.incoming,0
variants.variant.24.mfstock,4644
variants.variant.24.outlet_discount_percent,
variants.variant.24.leaving,0
variants.variant.25.code,1033036116
variants.variant.25.recommended_retail_price,4.50
variants.variant.25.recommended_retail_price_brutto,5.65
variants.variant.25.wholesale_price,
variants.variant.25.discount,0.00
variants.variant.25.vat,25.50
variants.variant.25.currency,EUR
variants.variant.25.color,36
variants.variant.25.hexcolors.hexcolor,#000000
variants.variant.25.color_name,Black
variants.variant.25.size,116
variants.variant.25.available,50-100
variants.variant.25.free_stock,98
variants.variant.25.incoming,0
variants.variant.25.mfstock,5400
variants.variant.25.outlet_discount_percent,
variants.variant.25.leaving,0
variants.variant.26.code,1033036128
variants.variant.26.recommended_retail_price,4.50
variants.variant.26.recommended_retail_price_brutto,5.65
variants.variant.26.wholesale_price,
variants.variant.26.discount,0.00
variants.variant.26.vat,25.50
variants.variant.26.currency,EUR
variants.variant.26.color,36
variants.variant.26.hexcolors.hexcolor,#000000
